"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JFL","2022-03-30","471","489.6","470","489.6","3.68","11546"
"JFL","2022-03-29","478","486.5","470","472.2","-1.01","7408"
"JFL","2022-03-28","485","506.8","471","477","-2.09","7503"
"JFL","2022-03-27","505","505","481","487.2","-3.24","9926"
"JFL","2022-03-24","503.5","518","500","503.5","-1.47","9578"
"JFL","2022-03-23","520","520","509","511","-1.62","5052"
"JFL","2022-03-22","526","535","519.4","519.4","-1.09","7875"
"JFL","2022-03-21","507","529.9","498.1","525.1","3.37","8077"
"JFL","2022-03-20","519","519","505","508","-0.78","4556"
"JFL","2022-03-16","525","525","510","512","-0.58","6468"
"JFL","2022-03-15","520","520","511","515","-1.15","6246"
"JFL","2022-03-14","526","529.3","510","521","0.39","5159"
"JFL","2022-03-13","502","520","502","519","4.87","19858"
"JFL","2022-03-10","461.1","495.5","461","494.9","5.30","15036"
"JFL","2022-03-09","485","490","460","470","-3.92","9803"
"JFL","2022-03-07","498","498","488","489.2","-0.57","6247"
"JFL","2022-03-06","495","499.9","485","492","0.39","9776"
"JFL","2022-03-02","502","506.1","484","490.1","-3.71","16524"
"JFL","2022-02-28","538","538","508","509","-3.60","10207"
"JFL","2022-02-27","524","535","524","528","-1.12","7345"
"JFL","2022-02-24","555","555","528","534","-2.20","16453"
"JFL","2022-02-23","556","563","545","546","0.15","8660"
"JFL","2022-02-22","550.9","556","545","545.2","0.93","10911"
"JFL","2022-02-21","542.5","544","534.1","540.2","0.78","8820"
"JFL","2022-02-20","554.6","554.6","533.1","536","-3.42","18488"
"JFL","2022-02-17","547","562","547","555","0.07","9457"
"JFL","2022-02-16","559","565","550","554.6","-0.43","8722"
"JFL","2022-02-15","542","559","540","557","3.15","15890"
"JFL","2022-02-14","554","554","530","540","-0.74","26693"
"JFL","2022-02-13","564","566","540","544","-5.47","31246"
"JFL","2022-02-10","585.9","585.9","560","575.5","-0.09","19475"
"JFL","2022-02-09","599","599","566.5","576","-2.41","16666"
"JFL","2022-02-08","606.9","631","590.2","590.2","0.00","33397"
"JFL","2022-02-07","600.5","600.5","589","595","1.06","25058"
"JFL","2022-02-06","695","696","675","677.1","-2.15","45156"
"JFL","2022-02-03","705","710","690.9","692","-0.01","47288"
"JFL","2022-02-01","694.4","700","682","692.1","1.04","24380"
