"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2022-03-10","1100","1154.9","1090","1150","4.83","48796"
"SHIVM","2022-03-09","1107","1135","1086","1097","-0.90","52474"
"SHIVM","2022-03-07","1085","1123","1030","1107","2.03","253914"
"SHIVM","2022-03-06","1144.7","1160","1074","1085","-7.11","136546"
"SHIVM","2022-03-02","1229","1229","1157","1168","-5.43","104239"
"SHIVM","2022-02-28","1274","1298.4","1226.1","1235","-2.99","76521"
"SHIVM","2022-02-27","1300","1330","1265.4","1273","-3.05","53100"
"SHIVM","2022-02-24","1340","1358.9","1300","1313","-2.67","39436"
"SHIVM","2022-02-23","1393","1393","1342","1349","-1.82","22109"
"SHIVM","2022-02-22","1389","1390","1357","1374","-0.36","31944"
"SHIVM","2022-02-21","1355","1405","1340","1379","1.47","48041"
"SHIVM","2022-02-20","1372","1398","1350","1359","-2.93","36092"
"SHIVM","2022-02-17","1409.9","1422","1370","1400","1.16","23685"
"SHIVM","2022-02-16","1420","1425","1371.1","1384","-2.54","47455"
"SHIVM","2022-02-15","1424","1427","1400","1420","0.92","13276"
"SHIVM","2022-02-14","1390","1480","1390","1407","0.43","37741"
"SHIVM","2022-02-13","1480","1500","1396","1401","-6.98","77936"
"SHIVM","2022-02-10","1501","1525","1491.2","1506.2","0.21","53977"
"SHIVM","2022-02-09","1522","1522","1490","1503","0.66","52411"
"SHIVM","2022-02-08","1501.5","1528","1486","1493.1","0.00","56032"
"SHIVM","2022-02-07","1480","1499","1466.2","1472.1","0.07","18833"
"SHIVM","2022-02-06","1470","1498","1459","1471","0.07","20436"
"SHIVM","2022-02-03","1524","1524","1470","1470","-1.74","57741"
"SHIVM","2022-02-01","1508","1510","1490","1496","-0.47","25534"
"SHIVM","2022-01-31","1550","1550","1493","1503","-1.64","35191"
"SHIVM","2022-01-30","1530","1590","1510","1528","1.87","81601"
"SHIVM","2022-01-27","1495","1565","1486","1500","0.67","57166"
"SHIVM","2022-01-26","1482","1508","1460","1490","0.20","38160"
"SHIVM","2022-01-25","1499","1528","1475","1487","-0.80","37953"
"SHIVM","2022-01-24","1545","1560","1492","1499","-3.73","58304"
"SHIVM","2022-01-23","1580","1594","1550","1557.1","-0.50","44642"
"SHIVM","2022-01-20","1560","1598","1540","1565","0.45","40462"
"SHIVM","2022-01-19","1600","1604","1553","1558","-2.01","61410"
"SHIVM","2022-01-18","1667.7","1667.7","1573.2","1590","-2.75","89859"
"SHIVM","2022-01-17","1639.1","1671.8","1580","1635","1.74","128877"
"SHIVM","2022-01-16","1525","1609","1516.2","1607","6.64","165903"
"SHIVM","2022-01-13","1500","1525","1485","1507","1.12","33383"
"SHIVM","2022-01-12","1522.4","1539","1490","1490.3","-2.08","62686"
"SHIVM","2022-01-11","1533","1559.9","1520","1522","-1.49","64479"
"SHIVM","2022-01-10","1566","1584","1540","1545","-1.34","79845"
"SHIVM","2022-01-09","1545","1587","1531","1566","3.37","123886"
"SHIVM","2022-01-06","1530","1538","1513.2","1515","-0.53","56156"
"SHIVM","2022-01-05","1535","1570","1505","1523","0.20","122280"
"SHIVM","2022-01-04","1530","1551","1500","1520","-0.33","62734"
"SHIVM","2022-01-03","1556.5","1561","1514","1525","-0.07","105632"
"SHIVM","2022-01-02","1480","1538","1451.1","1526","3.11","155477"
"SHIVM","2021-12-29","1448","1501.4","1428","1480","2.21","84044"
"SHIVM","2021-12-28","1380","1450","1365","1448","3.57","58809"
"SHIVM","2021-12-27","1469.8","1475","1398","1398.1","-2.98","182731"
"SHIVM","2021-12-26","1337.2","1441","1311","1441","9.92","111489"
"SHIVM","2021-12-23","1240","1345","1226","1311","6.22","75309"
"SHIVM","2021-12-22","1140","1234.2","1132","1234.2","10.00","29030"
"SHIVM","2021-12-21","1101.6","1123.6","1097","1122","3.89","6043"
"SHIVM","2021-12-20","1108.7","1121","1063.3","1080","-0.64","13709"
"SHIVM","2021-12-16","1090.1","1114","1067.3","1087","-2.16","11777"
"SHIVM","2021-12-15","1150","1180","1080","1111","-1.66","17004"
"SHIVM","2021-12-14","1048","1129.9","1030","1129.8","9.91","11204"
"SHIVM","2021-12-13","1082","1120","1027","1027.9","-6.89","37461"
"SHIVM","2021-12-12","1138","1156","1101","1104","-4.50","18492"
"SHIVM","2021-12-09","1177","1183","1140","1156","-2.61","19919"
